HPLC_ID	Plant_ID	Experiment	Line	Type	Weight	Block	Site	Batch	area_Sinigrin	area_2OH1ME	area_1ME	area_6MSOH	area_1MP	area_I3M
24	8_0679	ecotypes	JAM.7.B	rosette	11.9	8_15	Par	p22	4617.03	12247.79	0	0	0	0
25	8_0028	ecotypes	MAH.38.B	rosette	4.5	8_1	Par	p22	4566.47	18.69	0	8086.62	0	0
21	8_0714	ecotypes	MIL.53.A	rosette	10.7	8_15	Par	p22	5707.47	7085.59	0	0	0	0
22	8_0034	ecotypes	JAM.22.A	rosette	7	8_1	Par	p22	5078.08	0	7283.56	1648	1241.32	0
23	8_0681	ecotypes	MAH.48.A	rosette	4.4	8_15	Par	p22	5538.44	4570.1	0	0	0	0
28	8_0713	ecotypes	SILLow.3	rosette	18.3	8_15	Par	p22	4887.25	45.43	24284.48	5217.21	4050.45	0
29	8_0715	ecotypes	PAR.9.A1	rosette	19	8_15	Par	p22	3444.14	22.12	0	23422.88	0	0
111	8_0607	ecotypes	PAR.19.B	rosette	17.2	8_13	Jam	p22	4703.12	61.33	0	41599.26	0	0
110	8_0600	ecotypes	JAM.40.A	rosette	13.4	8_13	Jam	p22	4670.3	13503.9	0	0	0	0
113	8_0611	ecotypes	MIL.50.A	rosette	17.8	8_13	Jam	p22	6421.59	14233.24	0	0	0	0
112	8_0617	ecotypes	MAH.8.A1	rosette	20.4	8_13	Jam	p22	4546.46	27.41	0	21828.62	0	0
108	9_1369	ecotypes	SILLow.2	rosette	25.9	9_29	Jam	p22	4562.1	52.28	15806.54	1633.21	2735.66	0
109	8_0301	ecotypes	PAR.29.B2	rosette	16.1	8_7	Jam	p22	4401.35	64.71	0	34549.72	0	0
103	9_0334	ecotypes	MAH.48.A	rosette	6.9	9_7	Jam	p22	3786.78	2021.44	0	0	0	0
106	9_0318	ecotypes	JAM.40.A	rosette	10.6	9_7	Jam	p22	5005.6	12859.92	0	0	0	0
107	9_0335	ecotypes	MAH.5.A	rosette	6.6	9_7	Jam	p22	4781.39	11743.74	3352.48	0	0	0
104	8_0312	ecotypes	MIL.68.B	rosette	22.9	8_7	Jam	p22	4197.71	10996.7	0	0	0	0
105	9_1349	ecotypes	JAM.1.A	rosette	12.5	9_29	Jam	p22	4503.01	6217.65	0	0	0	0
39	8_0719	ecotypes	PAR.17.A1	rosette	2.8	8_15	Par	p22	5275.01	4520.51	175.01	594.1	0	0
33	8_0024	ecotypes	MAH.8.A1	rosette	4.5	8_1	Par	p22	6006.1	0	0	1187.83	0	0
32	8_0704	ecotypes	MIL.68.B	rosette	1.8	8_15	Par	p22	4333.74	4956.02	0	0	0	0
31	8_0019	ecotypes	MAH.16.A	rosette	11.4	8_1	Par	p22	4620.81	0	0	15844.61	0	0
30	8_0678	ecotypes	MIL.32.A1	rosette	6.4	8_15	Par	p22	6600.92	9660.29	454.77	0	0	0
37	8_0703	ecotypes	JAM.40.A	rosette	5.5	8_15	Par	p22	5078.37	6430.16	0	0	0	0
36	8_0690	ecotypes	JAM.22.A	rosette	3.3	8_15	Par	p22	4673.64	2537.87	1202.75	17938.04	0	0
34	8_0032	ecotypes	MIL.24.A	rosette	6.5	8_1	Par	p22	4323.02	6835.16	3409.41	0	0	0
15	8_0675	ecotypes	SILLow.2	rosette	17.9	8_15	Par	p22	4781.29	0	0	1043.89	3376.89	0
18	8_0677	ecotypes	JAM.26.A	rosette	5.3	8_15	Par	p22	6078.39	6961.64	0	0	0	0
46	8_0448	ecotypes	MAH.46.A	rosette	3.6	8_10	Par	p22	5152.45	859.97	260.01	384.79	0	0
44	8_0464	ecotypes	MAH.8.A1	rosette	6.3	8_10	Par	p22	4560.5	0	0	3621.72	0	0
43	8_0452	ecotypes	MAH.13.A	rosette	2.7	8_10	Par	p22	4878.05	1219.29	784.52	0	0	0
216	8_0970	ecotypes	MIL.68.B	rosette	NA	8_21	Mah	p27	1859.24	2481.35	114.64	268.32	0	0
217	8_1333	ecotypes	MAH.16.A	rosette	NA	8_28	Mah	p27	1846.32	0	0	3553.63	0	0
214	9_0085	ecotypes	MIL.53.A	rosette	NA	9_2	Mah	p27	1854.13	2278.6	241.07	515.65	91	0
