Plant_ID	Experiment	Line	Site	Block	Cohort
8_0001	ecotypes	PAR.21.B2	Par	8_1	2008
8_0002	ecotypes	SILLow.5	Par	8_1	2008
8_0003	ecotypes	MAH.9.B	Par	8_1	2008
8_0004	ecotypes	SILLow.2	Par	8_1	2008
8_0005	ecotypes	PAR.7.B1	Par	8_1	2008
8_0006	ecotypes	PAR.9.A1	Par	8_1	2008
8_0007	ecotypes	MIL.21.B2	Par	8_1	2008
8_0008	ecotypes	MIL.53.A	Par	8_1	2008
8_0009	ecotypes	JAM.1.A	Par	8_1	2008
8_0010	ecotypes	JAM.40.A	Par	8_1	2008
8_0011	ecotypes	PAR.19.B	Par	8_1	2008
8_0012	ecotypes	MAH.46.A	Par	8_1	2008
8_0013	ecotypes	PAR.29.B2	Par	8_1	2008
8_0014	ecotypes	JAM.16.A	Par	8_1	2008
8_0015	ecotypes	SILLow.3	Par	8_1	2008
8_0016	ecotypes	PAR.17.A1	Par	8_1	2008
8_0017	ecotypes	JAM.6.A	Par	8_1	2008
8_0018	ecotypes	MIL.20.B	Par	8_1	2008
8_0019	ecotypes	MAH.16.A	Par	8_1	2008
8_0020	ecotypes	JAM.19.B	Par	8_1	2008
8_0021	ecotypes	MIL.60.A	Par	8_1	2008
8_0022	ecotypes	SILupper.2	Par	8_1	2008
8_0023	ecotypes	PAR.10.A6	Par	8_1	2008
8_0024	ecotypes	MAH.8.A1	Par	8_1	2008
8_0025	ecotypes	JAM.26.A	Par	8_1	2008
8_0026	ecotypes	MIL.32.A1	Par	8_1	2008
8_0027	ecotypes	MIL.68.B	Par	8_1	2008
8_0028	ecotypes	MAH.38.B	Par	8_1	2008
8_0029	ecotypes	MAH.13.A	Par	8_1	2008
8_0030	ecotypes	MAH.11.A	Par	8_1	2008
8_0031	ecotypes	PAR.22.A2	Par	8_1	2008
8_0032	ecotypes	MIL.24.A	Par	8_1	2008
8_0033	ecotypes	JAM.17.A	Par	8_1	2008
8_0034	ecotypes	JAM.22.A	Par	8_1	2008
8_0035	ecotypes	MIL.54.A	Par	8_1	2008
8_0036	ecotypes	MAH.37.A	Par	8_1	2008
8_0037	ecotypes	MIL.50.A	Par	8_1	2008
8_0038	ecotypes	MAH.48.A	Par	8_1	2008
8_0039	ecotypes	JAM.7.B	Par	8_1	2008
8_0040	ecotypes	JAM.15.A	Par	8_1	2008
8_0041	ecotypes	PAR.13.A	Par	8_1	2008
8_0042	ecotypes	SILLow.8	Par	8_1	2008
8_0043	ecotypes	PAR.8.B1	Par	8_1	2008
8_0044	ecotypes	SILLow.7	Par	8_1	2008
8_0045	ecotypes	MAH.5.A	Par	8_1	2008
8_0046	ecotypes	SILLow.6	Par	8_1	2008
8_0047	ecotypes	MIL.70.A	Par	8_1	2008
8_0048	ecotypes	SILLow.1	Par	8_1	2008
8_0049	ecotypes	JAM.40.A	Mah	8_2	2008
8_0050	ecotypes	JAM.17.A	Mah	8_2	2008
8_0051	ecotypes	JAM.22.A	Mah	8_2	2008
8_0052	ecotypes	PAR.17.A1	Mah	8_2	2008
8_0053	ecotypes	MAH.8.A1	Mah	8_2	2008
8_0054	ecotypes	MAH.13.A	Mah	8_2	2008
8_0055	ecotypes	SILupper.2	Mah	8_2	2008
8_0056	ecotypes	SILLow.7	Mah	8_2	2008
8_0057	ecotypes	JAM.7.B	Mah	8_2	2008
8_0058	ecotypes	PAR.8.B1	Mah	8_2	2008
8_0059	ecotypes	SILLow.3	Mah	8_2	2008
8_0060	ecotypes	MIL.21.B2	Mah	8_2	2008
8_0061	ecotypes	MIL.24.A	Mah	8_2	2008
8_0062	ecotypes	MIL.68.B	Mah	8_2	2008
8_0063	ecotypes	SILLow.6	Mah	8_2	2008
8_0064	ecotypes	MAH.9.B	Mah	8_2	2008
8_0065	ecotypes	SILLow.2	Mah	8_2	2008
8_0066	ecotypes	MAH.38.B	Mah	8_2	2008
8_0067	ecotypes	JAM.6.A	Mah	8_2	2008
8_0068	ecotypes	MIL.54.A	Mah	8_2	2008
8_0069	ecotypes	JAM.16.A	Mah	8_2	2008
8_0070	ecotypes	MIL.60.A	Mah	8_2	2008
8_0071	ecotypes	PAR.29.B2	Mah	8_2	2008
8_0072	ecotypes	MAH.46.A	Mah	8_2	2008
8_0073	ecotypes	PAR.19.B	Mah	8_2	2008
8_0074	ecotypes	JAM.15.A	Mah	8_2	2008
8_0075	ecotypes	MIL.50.A	Mah	8_2	2008
8_0076	ecotypes	PAR.22.A2	Mah	8_2	2008
8_0077	ecotypes	SILLow.1	Mah	8_2	2008
8_0078	ecotypes	PAR.21.B2	Mah	8_2	2008
8_0079	ecotypes	MAH.37.A	Mah	8_2	2008
8_0080	ecotypes	MAH.16.A	Mah	8_2	2008
8_0081	ecotypes	JAM.19.B	Mah	8_2	2008
8_0082	ecotypes	MAH.48.A	Mah	8_2	2008
8_0083	ecotypes	MAH.11.A	Mah	8_2	2008
8_0084	ecotypes	PAR.7.B1	Mah	8_2	2008
8_0085	ecotypes	MIL.53.A	Mah	8_2	2008
8_0086	ecotypes	PAR.10.A6	Mah	8_2	2008
8_0087	ecotypes	MIL.20.B	Mah	8_2	2008
8_0088	ecotypes	MIL.32.A1	Mah	8_2	2008
8_0089	ecotypes	SILLow.8	Mah	8_2	2008
8_0090	ecotypes	SILLow.5	Mah	8_2	2008
8_0091	ecotypes	MIL.70.A	Mah	8_2	2008
8_0092	ecotypes	MAH.5.A	Mah	8_2	2008
8_0093	ecotypes	JAM.1.A	Mah	8_2	2008
8_0094	ecotypes	PAR.13.A	Mah	8_2	2008
8_0095	ecotypes	JAM.26.A	Mah	8_2	2008
8_0096	ecotypes	PAR.9.A1	Mah	8_2	2008
8_0097	ecotypes	MIL.53.A	Mil	8_3	2008
8_0098	ecotypes	MAH.8.A1	Mil	8_3	2008
8_0099	ecotypes	JAM.40.A	Mil	8_3	2008
8_0100	ecotypes	PAR.9.A1	Mil	8_3	2008
8_0101	ecotypes	MIL.60.A	Mil	8_3	2008
8_0102	ecotypes	MIL.50.A	Mil	8_3	2008
8_0103	ecotypes	JAM.16.A	Mil	8_3	2008
8_0104	ecotypes	MIL.68.B	Mil	8_3	2008
8_0105	ecotypes	MAH.9.B	Mil	8_3	2008
8_0106	ecotypes	JAM.17.A	Mil	8_3	2008
8_0107	ecotypes	JAM.15.A	Mil	8_3	2008
8_0108	ecotypes	MAH.37.A	Mil	8_3	2008
8_0109	ecotypes	JAM.1.A	Mil	8_3	2008
8_0110	ecotypes	MAH.38.B	Mil	8_3	2008
8_0111	ecotypes	JAM.19.B	Mil	8_3	2008
8_0112	ecotypes	PAR.17.A1	Mil	8_3	2008
8_0113	ecotypes	MIL.32.A1	Mil	8_3	2008
8_0114	ecotypes	MIL.21.B2	Mil	8_3	2008
8_0115	ecotypes	MAH.48.A	Mil	8_3	2008
8_0116	ecotypes	PAR.29.B2	Mil	8_3	2008
8_0117	ecotypes	PAR.8.B1	Mil	8_3	2008
8_0118	ecotypes	MIL.24.A	Mil	8_3	2008
8_0119	ecotypes	SILLow.1	Mil	8_3	2008
8_0120	ecotypes	MIL.54.A	Mil	8_3	2008
