Site	PlantDiv	Veg	pH	conductivity	NO3_N	P	K	Ca	Mg	S	Na	Fe	Zn	Mn	Cu
Ald	8	37.91666667	6.4	164	9	36	356	2976	542	7	20	45.71	15.92	44.8	0.38
Ald	10	65	6.5	185	13	38	417	3489	661	8	21	43.43	3	43.2	0.42
Ald	7	63.33333333	6.6	167	13	42	352	3729	686	9	21	50.02	4.07	42.31	0.42
Ald	13	45.41666667	6.5	116	9	46	425	3503	613	6	19	47.34	19.23	38.03	0.39
Ald	13	69.16666667	6.4	143	3	49	408	3613	595	7	17	58.1	3.08	36.91	0.42
Ald	13	73.125	6.4	155	7	28	393	3395	646	8	19	55.63	3.01	48.72	0.44
Ald	13	80.41666667	6.5	145	4	29	334	3609	663	8	19	66.03	2.85	35.22	0.5
Ald	10	48.54166667	6.6	147	4	34	281	3961	740	9	35	55.06	7.47	30.83	0.42
Ald	14	63.125	6.5	164	5	43	398	3193	519	7	15	48.07	2.83	27.63	0.41
Ald	11	61.66666667	6.5	173	2	60	670	3584	581	8	21	52.12	2.53	35.84	0.39
Ald	5	67.08333333	6.3	135	3	46	445	3450	617	6	20	45.53	2.98	33	0.4
Ald	9	47.29166667	6.4	165	5	51	490	3482	618	7	21	42.84	3.63	32.28	0.39
Jam	9	40.125	5.7	56	3	51	526	1787	223	7	20	44.05	1.86	16.2	0.19
Jam	12	38.4375	5.7	45	3	44	538	1803	217	3	17	35.41	1.26	12.28	0.16
Jam	14	23.46381579	5.5	43	5	48	526	1678	210	3	16	35.42	5.34	12.47	0.14
Jam	14	28.0625	5.6	50	5	59	496	1641	204	4	15	39.53	2.1	10.84	0.15
Jam	11	32.0625	5.6	55	6	52	536	1624	201	1	14	36.83	2.9	13.24	0.13
Jam	12	43.4375	5.5	62	5	61	587	1387	185	4	11	37.73	1.81	18.71	0.16
Jam	15	39.25	5.6	49	6	46	518	1563	192	3	14	42.7	2.45	14.89	0.16
Jam	12	43.25	5.5	64	7	40	482	1479	178	2	12	40.03	1.54	11.66	0.13
Jam	12	30.625	5.5	52	2	43	416	1503	183	3	16	37.19	5.79	12.4	0.13
Jam	12	30	5.5	51	5	43	486	1557	192	2	12	37.59	2.21	15.93	0.12
Jam	12	37.125	5.5	57	10	61	614	1272	163	4	14	34.64	4.72	15.71	0.13
Jam	10	36.30625	5.7	50	5	37	464	1553	184	3	14	33	1.02	12.88	0.1
Mah	10	53.25	6	102	1	66	277	1915	300	4	12	88.05	1.86	27.45	0.47
Mah	9	52.75	5.9	101	1	43	214	1773	246	5	11	64.36	3.12	24.02	0.43
Mah	16	59.58333333	5.9	103	1	32	189	1744	272	4	10	69.87	5.26	25.77	0.53
Mah	13	49.60683761	6.3	77	0	44	237	2105	349	5	9	88.69	3.21	26.02	0.51
Mah	17	59.53571429	6.2	101	0	47	258	2147	335	5	12	78.14	5.1	22.46	0.57
Mah	14	42.92792793	6.2	87	1	39	256	2165	336	4	12	84.3	2.3	15.03	0.46
Mah	12	48.7027027	6.1	84	0	43	209	1980	313	4	11	86.06	3.28	22.81	0.5
Mah	8	52.58333333	5.8	94	2	43	229	1796	283	4	10	85.51	3.04	24.68	0.49
Mah	11	68.25	5.9	87	0	56	267	1973	300	6	13	83.45	3.1	17.95	0.8
Mah	11	59.33333333	6.1	82	0	94	239	1898	250	6	10	74.25	3.91	24.39	0.55
Mah	14	52.5	6.2	81	1	49	206	2096	366	5	14	87.46	3.51	21.13	0.62
Mah	11	73.2016129	5.9	85	0	35	181	1989	322	6	11	84.18	1.73	20.42	0.46
Par	8	20.44871795	5.8	65	3	94	264	1854	115	6	9	31.79	4.93	8.44	0.28
Par	7	29	5.6	46	2	99	260	1346	128	5	7	34.24	2.02	8.04	0.19
Par	4	6.375	5.6	41	2	101	243	1410	111	7	8	30.04	1.31	7.74	0.2
Par	5	23.625	5.5	36	2	105	231	1132	126	5	7	38.35	1.73	10.41	0.17
Par	9	36.375	5.5	40	3	110	211	1202	126	6	9	40.68	1.24	13.8	0.16
Par	6	20.125	5.6	43	2	123	212	1267	129	6	13	63.91	2.17	23.84	0.14
Par	6	20.5	5.8	49	2	101	272	1664	112	7	13	29.66	9.74	11.01	0.22
Par	4	15.75	5.4	30	1	124	224	1161	114	5	6	40.58	4.77	12.37	0.17
Par	5	20.16911765	5.9	40	2	57	208	1542	97	5	9	27.91	3.49	6.9	0.26
Par	4	18.71551724	5.5	37	2	96	253	1178	100	5	5	37.23	5.32	15.42	0.2
Par	7	17.79605263	5.7	46	2	88	249	1317	132	5	5	39.46	4.3	20.53	0.18
Par	6	13.125	5.3	44	4	96	228	1032	88	6	6	32.08	1.85	18.18	0.14
Sil	7	69.97916667	5.5	121	0	9	332	2152	180	2	57	71.05	2.47	34.83	0.51
